round 0, feat 451, thresh 0.1026, roundErr 0.0828
round 1, feat 455, thresh 0.0941, roundErr 0.3063
round 2, feat 965, thresh 0.0378, roundErr 0.3453
round 3, feat 1023, thresh 0.0000, roundErr 0.5869
round 4, feat 1, thresh 0.0000, roundErr 0.4223
round 5, feat 92, thresh 0.0000, roundErr 0.6185
round 6, feat 455, thresh 0.1569, roundErr 0.3870
round 7, feat 966, thresh 0.0000, roundErr 0.5886
round 8, feat 3, thresh 0.1927, roundErr 0.4162
round 9, feat 618, thresh 0.0000, roundErr 0.5890
round 10, feat 1, thresh 0.0000, roundErr 0.4181
round 11, feat 340, thresh 0.0000, roundErr 0.5758
round 12, feat 469, thresh 0.1393, roundErr 0.4231
round 13, feat 283, thresh 0.0000, roundErr 0.5728
round 14, feat 755, thresh 0.2012, roundErr 0.4247
round 15, feat 785, thresh 0.0000, roundErr 0.5580
round 16, feat 448, thresh 0.0730, roundErr 0.4398
round 17, feat 92, thresh 0.0000, roundErr 0.5698
round 18, feat 1, thresh 0.0000, roundErr 0.4317
round 19, feat 100, thresh 0.0000, roundErr 0.5636
round 20, feat 23, thresh 0.1992, roundErr 0.4335
round 21, feat 272, thresh 0.0000, roundErr 0.5623
round 22, feat 471, thresh 0.0759, roundErr 0.4337
round 23, feat 849, thresh 0.1238, roundErr 0.5631
round 24, feat 2, thresh 0.1525, roundErr 0.4406
round 25, feat 857, thresh 0.1226, roundErr 0.5593
round 26, feat 455, thresh 0.2245, roundErr 0.4474
round 27, feat 1458, thresh 0.0000, roundErr 0.5587
round 28, feat 934, thresh 0.1563, roundErr 0.4438
round 29, feat 232, thresh 0.2101, roundErr 0.5541
round 30, feat 3, thresh 0.1927, roundErr 0.4416
round 31, feat 240, thresh 0.0000, roundErr 0.5560
round 32, feat 469, thresh 0.1393, roundErr 0.4404
round 33, feat 1032, thresh 0.1729, roundErr 0.5550
round 34, feat 448, thresh 0.0730, roundErr 0.4490
round 35, feat 919, thresh 0.0000, roundErr 0.5556
round 36, feat 471, thresh 0.2024, roundErr 0.4503
round 37, feat 340, thresh 0.1881, roundErr 0.5504
round 38, feat 23, thresh 0.2276, roundErr 0.4480
round 39, feat 985, thresh 0.0907, roundErr 0.4506
round 40, feat 813, thresh 0.1247, roundErr 0.4616
round 41, feat 797, thresh 0.1090, roundErr 0.4643
round 42, feat 182, thresh 0.1215, roundErr 0.5467
round 43, feat 1, thresh 0.0000, roundErr 0.4495
round 44, feat 92, thresh 0.0000, roundErr 0.5484
round 45, feat 465, thresh 0.1093, roundErr 0.4510
round 46, feat 451, thresh 0.0000, roundErr 0.5470
round 47, feat 12, thresh 0.1035, roundErr 0.4537
round 48, feat 240, thresh 0.0000, roundErr 0.5465
round 49, feat 2, thresh 0.1525, roundErr 0.4524
round 50, feat 975, thresh 0.0000, roundErr 0.5448
round 51, feat 448, thresh 0.0730, roundErr 0.4552
round 52, feat 290, thresh 0.0000, roundErr 0.5455
round 53, feat 469, thresh 0.1393, roundErr 0.4529
round 54, feat 193, thresh 0.0000, roundErr 0.5452
round 55, feat 471, thresh 0.2024, roundErr 0.4552
round 56, feat 923, thresh 0.1500, roundErr 0.5443
round 57, feat 965, thresh 0.0577, roundErr 0.5462
round 58, feat 195, thresh 0.1245, roundErr 0.5302
round 59, feat 3, thresh 0.1927, roundErr 0.4532
round 60, feat 618, thresh 0.0000, roundErr 0.5418
round 61, feat 1, thresh 0.0000, roundErr 0.4604
round 62, feat 195, thresh 0.1245, roundErr 0.5396
round 63, feat 934, thresh 0.2046, roundErr 0.4592
round 64, feat 44, thresh 0.0939, roundErr 0.5365
round 65, feat 455, thresh 0.2431, roundErr 0.4594
round 66, feat 1023, thresh 0.0000, roundErr 0.5363
round 67, feat 1210, thresh 0.1038, roundErr 0.4601
round 68, feat 517, thresh 0.0000, roundErr 0.5375
round 69, feat 23, thresh 0.2276, roundErr 0.4596
round 70, feat 966, thresh 0.1587, roundErr 0.5378
round 71, feat 441, thresh 0.0000, roundErr 0.4648
round 72, feat 240, thresh 0.0000, roundErr 0.5393
round 73, feat 469, thresh 0.1393, roundErr 0.4613
round 74, feat 272, thresh 0.0000, roundErr 0.5376
round 75, feat 720, thresh 0.1623, roundErr 0.4619
round 76, feat 340, thresh 0.0000, roundErr 0.5356
round 77, feat 1030, thresh 0.1393, roundErr 0.4620
round 78, feat 849, thresh 0.1857, roundErr 0.5309
round 79, feat 471, thresh 0.2024, roundErr 0.4625
round 80, feat 92, thresh 0.0000, roundErr 0.5372
round 81, feat 5, thresh 0.0000, roundErr 0.4621
round 82, feat 504, thresh 0.0000, roundErr 0.5370
round 83, feat 467, thresh 0.3047, roundErr 0.4626
round 84, feat 426, thresh 0.0000, roundErr 0.5371
round 85, feat 493, thresh 0.2910, roundErr 0.4642
round 86, feat 290, thresh 0.0000, roundErr 0.5359
round 87, feat 1451, thresh 0.1168, roundErr 0.4635
round 88, feat 71, thresh 0.0000, roundErr 0.5345
round 89, feat 1, thresh 0.0000, roundErr 0.4646
round 90, feat 674, thresh 0.1431, roundErr 0.5359
round 91, feat 644, thresh 0.0000, roundErr 0.4642
round 92, feat 232, thresh 0.2101, roundErr 0.5356
round 93, feat 13, thresh 0.0000, roundErr 0.4648
round 94, feat 295, thresh 0.1211, roundErr 0.5355
round 95, feat 737, thresh 0.0000, roundErr 0.4645
round 96, feat 760, thresh 0.1237, roundErr 0.5354
round 97, feat 437, thresh 0.1559, roundErr 0.4650
round 98, feat 195, thresh 0.1245, roundErr 0.5351
round 99, feat 1215, thresh 0.1177, roundErr 0.4646
round 100, feat 562, thresh 0.1927, roundErr 0.5349
round 101, feat 2, thresh 0.2817, roundErr 0.4648
round 102, feat 515, thresh 0.0000, roundErr 0.5346
round 103, feat 12, thresh 0.1951, roundErr 0.4646
round 104, feat 451, thresh 0.0000, roundErr 0.5333
round 105, feat 461, thresh 0.0000, roundErr 0.4670
round 106, feat 336, thresh 0.0000, roundErr 0.5348
round 107, feat 448, thresh 0.2580, roundErr 0.4662
round 108, feat 240, thresh 0.0000, roundErr 0.5337
round 109, feat 465, thresh 0.1093, roundErr 0.4654
round 110, feat 283, thresh 0.2457, roundErr 0.5334
round 111, feat 612, thresh 0.0000, roundErr 0.4663
round 112, feat 519, thresh 0.0000, roundErr 0.5340
round 113, feat 5, thresh 0.0000, roundErr 0.4667
round 114, feat 100, thresh 0.0000, roundErr 0.5334
round 115, feat 441, thresh 0.0000, roundErr 0.4666
round 116, feat 630, thresh 0.1925, roundErr 0.5336
round 117, feat 735, thresh 0.0000, roundErr 0.4674
round 118, feat 923, thresh 0.2143, roundErr 0.5328
round 119, feat 602, thresh 0.1021, roundErr 0.4701
round 120, feat 635, thresh 0.0000, roundErr 0.5300
round 121, feat 1215, thresh 0.1177, roundErr 0.4686
round 122, feat 132, thresh 0.0000, roundErr 0.5326
round 123, feat 437, thresh 0.1559, roundErr 0.4675
round 124, feat 758, thresh 0.1192, roundErr 0.5321
round 125, feat 461, thresh 0.0000, roundErr 0.4688
round 126, feat 480, thresh 0.2342, roundErr 0.5320
round 127, feat 1015, thresh 0.1114, roundErr 0.4681
round 128, feat 894, thresh 0.0974, roundErr 0.5301
round 129, feat 755, thresh 0.0715, roundErr 0.4729
round 130, feat 561, thresh 0.0000, roundErr 0.5265
round 131, feat 1, thresh 0.0000, roundErr 0.4711
round 132, feat 504, thresh 0.0000, roundErr 0.5325
round 133, feat 467, thresh 0.3047, roundErr 0.4679
round 134, feat 290, thresh 0.0000, roundErr 0.5318
round 135, feat 441, thresh 0.0000, roundErr 0.4683
round 136, feat 193, thresh 0.1105, roundErr 0.5316
round 137, feat 2, thresh 0.2817, roundErr 0.4685
round 138, feat 250, thresh 0.0000, roundErr 0.5310
round 139, feat 0, thresh 0.0000, roundErr 0.4683
round 140, feat 49, thresh 0.0000, roundErr 0.5314
round 141, feat 737, thresh 0.0000, roundErr 0.4691
round 142, feat 632, thresh 0.0000, roundErr 0.5312
round 143, feat 1215, thresh 0.1177, roundErr 0.4685
round 144, feat 1154, thresh 0.0000, roundErr 0.5311
round 145, feat 469, thresh 0.1393, roundErr 0.4704
round 146, feat 1486, thresh 0.1243, roundErr 0.5308
round 147, feat 23, thresh 0.2845, roundErr 0.4703
round 148, feat 44, thresh 0.0939, roundErr 0.5293
round 149, feat 644, thresh 0.0000, roundErr 0.4691
round 150, feat 517, thresh 0.1844, roundErr 0.5306
round 151, feat 3, thresh 0.1927, roundErr 0.4695
round 152, feat 182, thresh 0.1215, roundErr 0.5293
round 153, feat 461, thresh 0.3670, roundErr 0.4697
round 154, feat 92, thresh 0.0000, roundErr 0.5303
