Id,References
1875320, 947028 1529699 352022 1502488 1106078 1744284 1149595 1085740 860990 534859
1875325, 733168 946412 18224 2321 842187 331980 1740961 1548266 961107 76721
1890816, 1674600 1616160 1494200 653675 730025 840070 2087284 973208 280620 278126
1890830, 657171 1456344 950739 1080488 253316 1407952 1329098 975370 2083755 863971
1890831, 373996 1926920 22071 507712 1619304 1500605 1104693 848850 1641296 894404
1896751, 1536462 868370 302153 505184 1004526 1016048 1846641 667018 1029070 1841916
1896761, 138142 826837 484309 518384 1702864 1180177 1708331 1631258 349041 517284
1896944, 1835515 1248380 1791591 1052813 532256 1545981 1802625 551837 1265691 1699573
1896948, 460160 1293593 467413 397845 1806819 348630 1075596 1435327 1828093 363689
1896952, 1340270 1527251 1682421 349414 1533192 1297746 1045872 395339 234251 1786301
1896958, 1779817 1705203 217100 777541 1053370 702862 90782 1622869 1552387 450576
1896960, 1778353 544776 1770724 1214600 1088430 1852990 869716 845526 1650039 315230
1896970, 964334 892964 589242 1800513 1412415 1134015 1191659 96012 1467066 2090660
1896971, 620285 869154 362399 582123 1170727 1095335 1766072 769999 961265 1131656
1896987, 323438 481837 1461917 1276412 541946 1651194 1576245 1374314 1472357 1740178
1897004, 876542 76485 977256 243962 1768728 642360 718022 191599 1669702 1380653
1897008, 984562 1178620 46697 471205 811762 1434279 1599487 1789523 755059 1156584
1897010, 1738151 47543 1245905 1525195 1552064 982866 1155255 872315 530806 1889333
1897022, 41963 1431021 1490577 802426 1881829 1762850 1379293 415033 1196468 1588840
1897028, 1169730 1120845 1728031 1292073 325792 1431774 1532743 1779813 2217 1453861
1897033, 1382500 563971 721512 962109 1336577 2083991 1553011 245646 889170 1745613
1897034, 533404 212473 502968 1414492 1686726 833104 1123537 1726713 1224530 1400512
1897036, 1418697 919952 1483392 1499108 1478684 1238531 92577 898818 941562 924641
1897087, 1665324 1713642 519655 1351909 1230767 1944899 475484 1450282 1067953 1684725
1897099, 250891 795266 1073052 727621 766235 219028 379899 490383 1933760 1616402
1897117, 1765442 211576 732962 1979596 1667321 500085 4631 97118 546234 88434
1898504, 352111 1401201 1407423 141360 1781042 1302945 1370878 164670 763109 1160318
1898512, 105100 1600953 1769379 1579297 1895938 344179 316002 1518317 1758487 1830713
1898531, 835433 1890064 866758 1182080 475366 1196925 1397741 1515404 842713 298253
1898532, 642157 1178081 557261 1122043 1762241 1650224 131834 1437874 1182294 1387953
1898653, 607570 602766 958480 1681153 1902617 220576 128909 320106 336679 138026
1898661, 690858 562280 693631 1683958 973733 298072 707581 335619 512998 1432027
1903620, 1538720 926528 588336 905617 100852 151227 449124 978003 800855 1905264
1905337, 647710 1620532 708371 801573 1045855 1270236 1309586 1700279 283772 910961
1905338, 1664116 211331 1802202 889472 2019191 826339 457458 806530 930314 1627417
1905340, 1932338 1040986 154713 581568 501203 517374 1015648 1903830 260336 1834415
1905342, 1006200 1588095 1296653 1762134 813621 180029 328696 1032311 30358 580393
1905411, 561181 259946 1817853 421670 516483 308768 1336839 1156810 1735385 190472
1905424, 1333226 1277660 374969 1770533 1107038 668746 803611 285309 1496328 1235709
1905429, 1859655 1149506 1231207 703830 1224000 144140 137086 889958 784068 388381
1906490, 1228927 1068316 962775 1379133 1877160 1513 590967 1535974 803583 554575
1906501, 321142 1541768 1100614 1679172 1069452 1289974 677988 570482 545802 1585107
1906507, 396422 300925 1865807 1874543 1485159 1213485 260597 308852 727639 117199
1906604, 992775 179718 647429 325669 1154882 1380006 1226669 1762516 656306 1536845
